PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
38,0,2,"Valdez, Dr. Travis",male,32.221064316971905,0,1,SOTON/O 848603,3.8081738678670174,,S
39,1,3,"Tanner, Mr. Jonathon",female,35.66585757724617,0,0,25745,10.757677235792668,,S
40,0,1,"Jimenez, Mr. Danny",male,30.907534582576165,0,0,10457,75.2328902321208,,S
41,0,3,"Walker, Master. Sean",male,48.59664528938094,1,0,SC/Paris 993948,95.53102439687805,,Q
42,0,1,"Wilcox, Mr. Amy",female,34.863746687731435,1,0,A/5 731347,102.84395158084378,,Q
43,0,1,"Downs, Dr. Michael",female,20.124068003965682,0,0,SC/Paris 530745,38.26792655960559,,S
44,1,3,"Callahan, Master. Elizabeth",male,31.382010732494052,0,0,SOTON/O 203509,150.74690865359852,,S
45,0,3,"Petty, Mr. Alexander",male,24.83566539847531,0,1,SOTON/O 474280,8.224208962644388,,S
46,1,3,"Roberson, Mr. Melvin",female,32.273598691274245,2,0,21373,56.71552128130308,E42,C
47,0,1,"Carter, Mrs. Rebecca",male,24.123224026864623,0,1,25618,60.91399608329597,,S
48,0,1,"Smith, Mrs. Allison",male,20.524649702351596,0,0,PC 832551,2.732599223723452,,Q
49,0,3,"Williams, Master. John",male,32.78981097847824,0,1,57676,16.595468012880893,G121,S
50,0,3,"Hudson, Dr. Emily",female,30.78105480063175,1,0,CA 828917,148.8436962851337,A118,S
51,1,3,"Mccarthy, Mr. Julia",male,44.89538183064187,0,0,SC/Paris 994511,71.15391460862313,,S
52,1,3,"Williams, Miss. Richard",female,24.19061769214062,1,1,96715,2.812326001554488,,S
53,1,3,"Johnston, Master. Shelby",male,2.268046135065699,0,0,72603,38.9127999587986,,S
54,1,2,"Nunez, Master. Wayne",male,24.90580882151362,1,0,60285,52.294661461417434,,S
55,0,3,"Sanchez, Mr. Nicholas",female,7.229969375167922,0,0,SC/Paris 926974,180.75059498188344,E48,S
56,1,3,"Chase, Master. Joseph",female,35.819407637352064,0,0,60741,63.01554186807549,,C
57,0,2,"Smith, Miss. James",male,6.565429003116975,0,0,A/5 178809,50.89596028035055,,S
58,0,3,"Castro, Master. Shannon",male,16.162805126202578,0,0,SC/Paris 589116,119.58582554012212,,S
59,0,3,"Johnson, Dr. Joshua",female,24.92731758415192,1,0,24455,54.07850689390663,,S
60,0,2,"Bauer, Miss. Carolyn",female,51.61530846665603,0,0,A/5 740143,134.50220988346913,,S
61,0,2,"Mcconnell, Dr. Frank",male,14.979538379991155,0,0,22500,33.94014364772637,,S
62,0,1,"Nicholson, Mrs. Michelle",male,30.173669764052207,0,0,45917,63.39269367699666,,C
63,1,3,"Holmes, Mrs. Justin",female,38.119672077401624,0,0,11815,49.950293677842204,,S
64,0,1,"Freeman, Mr. Victoria",female,50.77684774508977,2,1,92708,40.20684479775631,B178,Q
65,0,1,"Moreno, Mr. Scott",female,40.88912652409974,1,0,STON/O 533230,19.585106781035712,,S
66,0,3,"Taylor, Master. Anthony",male,45.314697322854514,0,0,PC 867552,117.0550858910162,E48,S
67,0,3,"Mann, Mrs. John",male,42.10029882392158,1,0,SOTON/O 162887,15.738595711475497,,C
68,1,3,"Fisher, Master. Tracy",male,13.072278400454053,0,1,29972,8.681339162768593,F170,S
69,0,3,"Woods, Master. Charles",male,35.035689460438654,0,0,PC 888144,62.24844056820612,,S
70,1,3,"Newman, Dr. Jason",male,41.88125333041112,0,0,A/5 763982,39.54382649635142,,C
71,1,3,"Quinn, Miss. Rhonda",male,16.608995944563723,0,1,STON/O 672733,15.248917325403252,,C
72,0,3,"Porter, Dr. Robert",male,21.883361725863683,0,1,97499,102.12951097497074,,S
73,0,3,"Taylor, Dr. Dale",male,18.755307868221212,1,0,A/5 816508,16.858118828919864,,S
74,1,2,"Barber, Dr. Steven",female,40.81672180355247,0,0,CA 863681,3.2953501352559207,B1,S
75,1,3,"Lawson, Miss. Leah",female,29.030064315392153,0,1,53199,0.7743004387236315,,S
76,1,2,"Johnson, Dr. Eric",male,25.508157479308643,1,0,SOTON/O 448108,128.1034342696904,,C
77,1,1,"Crosby, Mr. James",male,12.056621166858172,0,0,27525,25.72311978037396,,Q
78,0,2,"Dalton, Master. Denise",male,29.056480455286906,0,1,A/5 338993,12.007422590207199,,C
79,0,1,"Carroll, Dr. Stephen",female,22.053763030213513,1,1,W.E.P. 994620,41.86258959388928,,Q
80,0,3,"Brown, Mrs. Daniel",male,33.406753913698275,0,0,72137,33.46036839280765,,Q
81,1,3,"Jones, Miss. Jose",female,13.998459218963688,0,0,PC 686624,437.8529513975868,,S
82,1,3,"Shaw, Master. Ronald",male,32.49068763308681,0,0,79314,109.6887655893574,,S
83,0,3,"Sanchez, Dr. Cristina",male,23.85468921301651,0,0,A/5 744709,15.811094238208248,F116,Q
84,0,3,"Hartman, Miss. Heather",female,12.509843039707949,0,0,STON/O 402434,59.81833641759555,F120,S
85,0,1,"Brown, Miss. Cameron",male,11.418023469705947,0,0,65904,24.4837688339045,,S
86,0,3,"Watkins, Mrs. Michael",male,13.521714567682281,1,0,93342,22.662255085362425,,C
87,1,3,"Leach, Miss. Darin",male,27.11041319583241,1,0,99321,22.87272135078465,,S
88,1,2,"Silva, Master. Stephanie",male,31.693936081089007,4,0,72284,50.97922074746791,,S
89,1,3,"Lewis, Miss. Jose",male,33.77753085328054,1,0,80524,38.60777372039177,C72,S
90,0,1,"Morrison, Dr. Mariah",male,34.30574084819827,1,0,A/5 845913,70.33504264160159,C152,S
91,0,1,"Gibson, Mr. David",female,19.380674346291194,0,1,30164,8.301893700295214,,S
92,1,1,"Whitney, Miss. Mark",female,44.81764071333246,1,0,97857,27.706410179919637,,S
93,1,2,"Reed, Master. Paul",female,23.80884263588586,1,0,STON/O 193616,98.42115314088406,,S
94,0,3,"George, Dr. Vanessa",male,36.30209664083625,0,0,98127,0.15847033686921946,,S
95,1,3,"Ross, Miss. Jennifer",male,27.701823931086565,0,0,SOTON/O 429921,48.840832224437285,,S
96,0,2,"Myers, Miss. Travis",male,35.25869724384258,0,0,SOTON/O 990463,77.02755731359213,C14,S
97,0,3,"Brown, Dr. Jennifer",male,26.999407073971206,3,0,CA 352224,24.21360482288669,,S
98,0,3,"Turner, Miss. Mike",male,35.51088827204393,0,1,SOTON/O 898134,107.54300550173869,C128,S
99,0,2,"Munoz, Dr. Alexa",female,29.89655582167547,0,0,70385,66.53195325255172,,S
100,0,1,"Andrews, Mrs. James",male,41.39376798910965,0,0,PC 530446,46.57633448983631,A96,S
101,0,3,"Martinez, Mr. Anthony",female,18.538409395043224,0,0,STON/O 604888,11.052442227714176,C130,C
102,1,3,"Gutierrez, Miss. Jared",male,5.221521297531904,0,0,42353,55.448882489200045,,S
103,0,3,"Sanchez, Mrs. Amber",male,16.372996127922647,0,0,W.E.P. 213705,89.71820316563176,,S
104,0,2,"Chan, Dr. Sarah",male,44.96485781333247,1,0,29107,65.44982521713597,,C
105,1,3,"Swanson, Mr. Cathy",male,27.836176521571645,0,1,SOTON/O 380267,42.76646867654089,,C
106,0,1,"Nunez, Miss. Sean",male,31.28887213765187,0,1,CA 831228,62.68912117936306,,Q
107,0,2,"Short, Mrs. Kevin",female,15.24908740335058,1,1,93479,188.37140570791243,,S
108,1,3,"Salinas, Dr. Shelby",female,30.917752152103898,0,1,CA 191246,0.5431565879959738,,C
109,0,2,"Combs, Miss. Nicholas",female,15.680622982982252,1,0,SC/Paris 781415,54.52158484361866,,S
110,0,1,"Hughes, Mrs. Timothy",male,17.73906214926143,0,0,68956,78.75003221917902,,C
111,0,2,"Haynes, Mr. Michael",female,24.365228440465675,1,1,62504,50.92884414250458,,Q
112,0,1,"Wood, Mr. Denise",female,36.231361609790035,0,0,12636,15.947774466479606,,S
113,1,3,"Matthews, Mrs. Nancy",male,37.72586612899514,0,1,W.E.P. 277083,86.51179219735451,A195,S
114,1,3,"Hopkins, Mr. Michael",female,38.10662857112972,0,0,W.E.P. 407799,122.26455906789893,,S
115,1,1,"Ford, Mr. Stephanie",male,7.766822389378763,0,0,A/5 942942,57.522349390992176,,S
116,1,1,"Goodman, Mrs. Nancy",male,29.90669699453634,0,2,50013,35.77211449285724,A14,S
117,1,1,"Thompson, Dr. Melanie",male,27.245054332641697,1,0,15572,22.81062845814698,,Q
118,0,3,"Hopkins, Master. Debra",male,8.549446174859625,0,0,25536,20.028114177682003,,S
119,1,1,"Fritz, Miss. Dustin",male,30.223772734110778,0,0,88358,64.22799677477113,,S
120,0,3,"Hobbs, Mr. Michael",male,26.49401895588534,1,0,SC/Paris 579687,46.71298457664109,,S
121,1,1,"Larson, Dr. Brandon",female,37.16135940965042,0,1,SC/Paris 283411,8.530554042123176,,S
122,1,2,"Huynh, Dr. Sharon",female,31.137459067357234,0,0,STON/O 880883,7.604943635427428,,S
123,0,3,"Anderson, Master. Peter",female,22.309512576034457,0,0,66944,3.687666565242167,D93,Q
124,0,3,"Sawyer, Mrs. Barbara",male,42.960674306397685,0,1,A/5 416814,57.52348484619916,,S
125,0,1,"Barajas, Mr. Michael",male,0.42,0,0,SOTON/O 378642,18.87044727219447,,S
126,0,3,"Clark, Miss. Kenneth",male,29.100288201985457,0,1,CA 902906,1.0225077623324403,D134,S
127,1,3,"Herring, Mr. Elizabeth",female,5.3144869521128975,0,0,SOTON/O 524817,20.601284263646537,,C
128,1,3,"Smith, Miss. Nicole",male,17.22929420311432,0,0,21464,89.22429489006343,,C
129,0,3,"Williams, Miss. Steven",male,37.3473918421309,0,0,53928,14.228514632601986,,S
130,0,3,"Jones, Master. Jessica",female,12.161235273828758,0,0,CA 525701,50.194577035505574,F198,S
131,0,3,"Anthony, Miss. Melissa",male,10.067950538144913,0,0,11471,28.961574712633915,C194,Q
132,0,1,"Dixon, Mrs. Steven",male,63.34722976781874,1,0,43987,39.80285582978868,G145,C
133,0,3,"Torres, Miss. Nicholas",female,10.969953280117696,1,0,49919,45.288897721464636,,Q
134,0,3,"Rosales, Dr. Cody",male,53.10729264323163,0,2,10322,30.33113601105959,,Q
135,1,1,"Gordon, Dr. Dawn",male,27.58916969589035,1,2,STON/O 213553,2.979849102274252,,S
136,0,1,"Allen, Mr. Ricky",male,22.652392299854345,0,0,85711,41.93124428839721,,S
137,0,1,"Rogers, Miss. Dennis",male,37.93500946823487,0,2,97494,25.335439841732306,,C
138,1,3,"Townsend, Master. Joel",male,48.71231705762299,0,1,89251,11.149672221877385,,S
139,0,3,"Brown, Miss. Michael",female,13.955048810483401,1,0,PC 414833,113.41314700665912,,S
140,1,3,"Garner, Miss. Howard",male,22.856502943800574,2,0,PC 807713,66.6030355147933,E188,Q
141,1,1,"Robertson, Miss. Paul",female,41.85617628557954,0,0,87311,16.70852170618704,,S
142,0,3,"Williams, Master. Laura",male,34.031920373978,0,0,CA 847294,38.71321732198365,,C
143,0,3,"Parrish, Mr. Joshua",male,45.426849628979355,0,0,STON/O 595227,164.99503609467277,,S
144,0,2,"Moore, Miss. Sean",female,37.21156736204491,0,0,A/5 688031,14.082453511411384,,S
145,0,3,"Snyder, Mr. Austin",female,55.31513612808807,0,0,37152,147.23720689609803,,S
146,0,3,"Flores, Master. Julie",male,32.500240383671105,0,0,SOTON/O 879345,57.49970226732114,,S
147,0,3,"Williams, Mr. Melissa",female,33.10535607663346,1,0,95465,38.9174621619443,G2,S
148,0,3,"Boyd, Mr. Allison",male,34.504099208221184,0,1,SC/Paris 675854,204.34171927124547,,S
149,0,3,"Pierce, Mrs. Paul",male,28.00515607582819,0,0,SOTON/O 939129,20.301427947896855,,S
150,0,2,"Cochran, Miss. Brian",female,41.87322022321294,2,0,84786,16.302519778573448,G61,C
151,1,3,"Boyd, Mr. Raymond",male,33.31857713408237,1,1,A/5 984547,20.744969192719505,F109,C
152,0,2,"Edwards, Miss. Andrew",male,41.034520128032014,1,0,CA 360326,69.48669385432639,G5,S
153,0,2,"Moore, Mrs. Daniel",male,43.22299795073824,0,1,W.E.P. 853694,20.549508214415145,,S
154,0,1,"Krause, Mrs. Victoria",male,35.998365541844585,0,0,W.E.P. 228121,5.421726030556581,,S
155,1,3,"Tate, Mr. Nancy",male,37.02402853927875,0,0,PC 598275,51.685080402583516,,S
156,0,2,"Brown, Mr. Jimmy",male,15.855382973648528,1,0,STON/O 604153,12.61469111578522,,C
157,1,1,"Duncan, Mrs. Marco",male,22.295049770522503,0,0,CA 102933,0.20858800147464807,F125,S
158,1,1,"Davenport, Dr. Drew",male,41.807368341870244,0,0,65326,11.10454507309427,,S
159,0,3,"Walter, Mr. Michael",male,49.93083654545919,0,3,44828,85.50310227510944,,S
160,1,3,"Green, Dr. Brandy",male,2.8339768428829544,0,0,59288,140.8777191465618,,S
161,0,3,"Smith, Master. Brittany",male,22.04991593848019,1,0,PC 266694,54.228487021043705,,S
162,1,3,"Schneider, Master. Jermaine",female,30.3306884338051,0,0,A/5 524912,18.588688267987717,,S
163,1,3,"Mcgee, Master. Marissa",female,17.69015753087051,1,0,43835,28.67916186335145,,S
164,0,2,"Chambers, Mr. Susan",female,18.484724981456438,0,0,STON/O 732001,10.817629418230165,,C
165,0,3,"Jordan, Mr. Robert",male,36.648878233113265,0,0,SOTON/O 374440,106.3383667496587,B98,S
166,1,1,"Jones, Master. Amanda",male,52.13926356840007,0,1,93067,54.76811320476385,,C
167,0,2,"Hayes, Dr. Nancy",male,1.5544702114900275,0,0,SOTON/O 222586,4.409472480093765,,S
168,0,2,"Adams, Mr. Amanda",female,27.613333914256252,0,0,32449,22.859004856893986,,C
169,0,3,"Gardner, Mr. Elizabeth",male,36.48592478506543,1,0,SC/Paris 550388,38.61196499538334,,S
170,0,3,"Gonzalez, Miss. Danielle",female,40.92299561080338,1,0,92995,79.80883190589125,,S
171,1,3,"Navarro, Miss. Kevin",female,34.46778280296654,0,0,36171,126.60280653227203,,S
172,0,1,"Baker, Miss. Christie",male,54.659635699105614,0,0,95531,7.1169849360911215,,C
173,0,3,"Valencia, Mrs. Paul",male,30.404692306561117,1,0,68568,89.95599258266526,D134,S
174,0,2,"Wang, Mr. Christine",male,48.36789906548937,0,1,15752,3.4023682628592193,,S
175,1,1,"Lawrence, Master. Chris",male,20.950852615156432,0,1,SOTON/O 934505,13.754120519886733,,C
176,0,1,"Gillespie, Mrs. Samantha",male,30.811761252243898,1,0,49068,1.0618096143467428,C146,S
177,1,3,"Taylor, Mrs. Michael",female,13.02198893881609,0,0,98508,3.297823459232449,,S
178,0,2,"Berry, Mrs. Perry",male,42.61210216768592,0,0,STON/O 811634,1.6478680607062497,,C
179,1,3,"Moore, Master. Anna",male,28.31379992302353,1,0,SC/Paris 954707,7.891664446174255,F123,S
180,0,3,"Greene, Mrs. Fernando",male,35.00949487527857,0,0,46795,104.58707395463011,,C
181,0,3,"Meyers, Miss. Jared",female,25.612839162008967,1,0,53755,16.691647245129037,,S
182,0,3,"Munoz, Mrs. Shannon",female,38.209999023226224,0,0,A/5 109895,32.66896013855396,,C
183,1,2,"Stewart, Dr. Denise",female,35.56407563398053,0,0,34430,33.38531490875261,B184,C
184,1,2,"Miller, Miss. Carla",female,16.07487998040311,0,0,49905,267.6168615860887,,S
185,0,3,"Aguirre, Mr. Christopher",male,16.885255943837855,1,1,36694,22.680765574385394,,S
186,1,3,"Wilson, Mr. Jamie",male,29.611237775221074,0,0,57470,15.40099647003291,,C
187,1,3,"Gay, Miss. Tracey",male,39.234035403693206,0,0,SOTON/O 586016,165.17364207351307,,S
188,0,3,"Wheeler, Mr. Steven",male,56.080537743593865,1,1,SC/Paris 450902,44.88886429720304,B140,S
189,0,1,"Anthony, Master. Steven",female,34.2418719933202,0,0,50508,17.088010392057853,,S
190,0,1,"Schwartz, Master. Larry",male,44.10543963483956,0,0,W.E.P. 302642,16.947781448054926,,S
191,0,3,"Ramirez, Mrs. Yvonne",male,7.420086913301638,3,0,SC/Paris 401329,4.516081125730279,,S
192,1,2,"Mcdonald, Dr. April",male,58.181381892075756,0,0,29980,40.694451210412545,,S
193,1,1,"Villanueva, Mrs. Kathleen",female,38.4796069558087,0,0,STON/O 246722,64.31121004686085,G56,S
194,1,3,"James, Dr. Margaret",female,29.305536843777084,1,0,79408,32.190600905808026,,S
195,0,1,"Bennett, Mr. George",male,27.694255335589045,0,0,STON/O 615307,107.89692185190121,,S
196,0,3,"Montgomery, Miss. Bryan",female,14.499202829974024,0,1,PC 418128,33.07901337690665,,C
197,1,3,"Campbell, Mrs. Dakota",male,18.501984859917606,1,0,SOTON/O 513678,21.25979974673189,,Q
198,1,3,"Green, Master. Megan",male,56.74609884986779,0,1,SC/Paris 913616,14.436320862941333,,Q
199,1,1,"Wong, Mrs. Dean",female,16.15393786399582,1,0,SC/Paris 257192,13.938979295542328,,S
200,1,1,"Curtis, Master. Aaron",female,15.884251389871169,1,1,CA 571757,19.02745289037576,,S
201,1,3,"Goodwin, Miss. Jennifer",male,20.168913194941894,0,1,SOTON/O 316362,241.25905670364335,,S
202,0,1,"Smith, Miss. Dillon",male,13.225469458542182,0,1,55078,22.378969171345574,G116,S
203,0,2,"Kelly, Miss. Jennifer",male,30.21429204783714,1,0,SOTON/O 297421,37.179925199251585,E83,C
204,1,2,"Cunningham, Mrs. Tim",male,45.24474717731334,1,0,SOTON/O 410252,16.05678153745666,,C
205,0,1,"Santiago, Master. Patrick",female,21.45310743219153,0,1,16295,7.747141761827642,,S
206,0,1,"Jimenez, Mr. Andrew",male,10.7734600833485,0,0,75341,51.89939842387121,,C
207,0,3,"Mayo, Dr. Jeffrey",female,34.08605838220515,3,0,STON/O 630225,39.39707919709452,C68,S
208,1,1,"Jones, Miss. Charles",female,29.219159272482617,1,0,86184,3.511810106759193,,Q
209,0,1,"Wyatt, Mr. David",male,44.038143701142744,0,1,SC/Paris 483727,107.18808550030172,,Q
210,0,3,"Ayala, Mrs. Ronald",male,23.636883809768214,1,0,STON/O 928897,35.43435628355734,E6,C
211,0,3,"Payne, Dr. Cheryl",male,26.35780508522655,2,0,SOTON/O 874090,20.42246151409282,,S
212,1,2,"Klein, Mr. Maria",male,27.906574896394233,0,0,A/5 835034,75.56092750345782,D87,C
213,1,1,"Valdez, Mr. Felicia",male,31.246057547748748,0,0,PC 675864,5.944256687646076,,C
214,0,3,"Reid, Miss. Jorge",male,24.504136516993743,0,0,SC/Paris 216732,32.101812322892656,,S
215,1,3,"Reynolds, Mr. Shane",female,22.234982487355875,0,1,A/5 775376,39.78918039515341,,S
216,0,3,"Scott, Mr. Jessica",male,4.094712411654221,0,0,77566,74.61052673039454,,S
217,0,3,"Turner, Dr. Lydia",female,22.084579072318363,0,0,10525,23.121191358475222,,Q
218,1,2,"Roberts, Dr. David",male,40.01312575314453,0,0,SOTON/O 420734,96.53866016668337,C185,S
219,1,3,"Chan, Mrs. Linda",female,41.9034372711644,1,0,STON/O 172789,59.81228840354448,,S
220,1,1,"Martinez, Miss. Angela",female,23.40441766972179,1,0,PC 480802,73.71812083036863,,S
221,1,3,"Turner, Miss. Zachary",male,48.19280397454467,1,0,27580,173.81379112211766,G110,Q
222,0,3,"Petersen, Mr. Barbara",female,29.598142996195033,1,0,A/5 556824,93.13708302127645,C11,C
223,0,3,"Cruz, Miss. Jeffrey",male,11.270150794576729,1,0,PC 715616,21.292705537166114,D188,C
224,0,2,"Hill, Miss. Marisa",female,6.866623209640419,0,0,78965,51.896239022577475,,S
225,0,1,"Johnson, Master. Jonathan",female,47.05561091667617,1,0,SC/Paris 217218,101.47986973846237,,C
226,0,3,"Bennett, Mr. Jason",male,24.777947846344965,0,0,57525,37.234823709046815,,S
227,1,3,"Cooper, Master. Victor",male,13.003096676983894,0,1,90338,57.41111583586779,,S
228,0,3,"Levy, Mrs. Robert",male,0.42,0,0,SOTON/O 468107,9.452880333152475,,S
229,1,1,"Moore, Dr. Jennifer",male,24.459974447748,0,0,99635,84.61768711855473,,S
230,1,2,"Dean, Miss. Scott",female,35.66651202594906,0,0,78872,70.82956183170441,,C
231,1,3,"Stewart, Miss. Christy",female,20.232323983353137,0,0,CA 370306,109.86347139185678,,S
232,0,2,"Crane, Master. Matthew",male,15.254567758125798,0,0,STON/O 930765,61.91937125677853,,C
233,0,3,"Robles, Miss. Melissa",female,22.308739239505815,0,0,36397,104.7381535502661,,S
234,0,3,"Little, Dr. Katherine",female,47.40468826802798,2,0,SC/Paris 232358,8.849754188190762,,S
235,0,3,"Hoover, Mr. Jimmy",male,10.49825735254733,2,0,STON/O 475386,84.00572383728829,,C
236,1,3,"Underwood, Master. Ryan",male,21.01618557408476,1,0,31296,152.8455639556837,E8,S
237,0,3,"Jenkins, Miss. Ashley",male,46.95060835464626,1,1,92840,84.50739212710666,,C
238,0,2,"Newton, Dr. Shane",female,36.91846805193255,0,1,97550,47.75520752661528,,S
239,1,3,"Cox, Miss. Duane",female,32.50778939290539,1,0,SC/Paris 554822,130.52356431323207,,S
240,0,2,"Lewis, Miss. Jennifer",male,20.921754104172518,0,0,48109,4.96264506919574,,S
241,1,3,"Kerr, Mr. Aaron",male,30.427067403005992,0,0,STON/O 176265,0.8504212033022103,,S
242,1,1,"Day, Master. John",female,22.47039304165379,1,0,37989,168.0799166811463,,S
243,1,3,"Smith, Master. Connor",female,17.968594165009485,0,0,W.E.P. 497562,57.44349436029802,,C
244,0,2,"Acosta, Dr. Shane",female,14.879195345775637,0,0,18012,6.0613110767311085,G75,C
245,0,2,"Jones, Master. Michael",male,40.977338349214975,0,0,A/5 753050,20.776702777505097,,S
246,1,3,"Hall, Mrs. Lisa",male,29.154314148974102,0,1,21834,69.07570696048694,,S
247,0,1,"Thompson, Mr. Eric",male,34.40319241323775,2,0,SOTON/O 658362,69.39229131301155,C138,S
248,1,3,"Kennedy, Miss. Steven",male,32.123424601219654,2,0,86163,9.315969399180906,C152,S
249,1,3,"Hall, Master. Arthur",female,36.17286358931703,0,1,68931,31.75784635684081,,S
250,1,1,"Jackson, Mrs. Peter",male,26.433936940197515,0,0,94608,82.33391459152716,B147,S
251,0,3,"Anderson, Master. Shaun",female,23.25679568523596,0,1,A/5 789635,170.25615074815326,B128,S
252,0,2,"Mercado, Miss. Todd",male,18.586075388524286,1,0,30346,48.717923407679926,,S
253,1,1,"Cooper, Master. James",female,10.204432132300411,1,0,W.E.P. 539672,50.82397493874019,,C
254,0,2,"White, Miss. Melissa",male,14.29153561127917,1,0,61111,31.682564319403912,,S
255,0,3,"Hill, Dr. Carolyn",male,24.884151904596898,0,0,STON/O 829008,38.72415227738663,C169,C
256,0,1,"Armstrong, Master. Deanna",male,7.557447217903302,1,0,CA 809651,5.208815333825855,A104,S
257,1,3,"Carlson, Mr. Melissa",male,10.647997342095575,1,0,85356,21.507470260539787,E161,C
258,1,3,"Chaney, Miss. Ronald",female,44.589958496892486,0,1,A/5 276982,35.392101244536086,,S
259,0,3,"Contreras, Mr. William",male,33.1385127879531,0,0,CA 224814,16.077886867359528,,S
260,0,1,"Clark, Dr. Raymond",male,23.67428580515071,1,1,CA 448299,22.300999992234303,,S
261,0,3,"Faulkner, Mr. Adrienne",female,61.802042424663846,1,0,32783,177.36317110388723,E69,S
262,1,3,"Thomas, Mr. Mark",female,6.9245039380175974,0,0,22385,0.2608014382740623,,S
263,0,3,"Ferguson, Dr. John",male,43.65855787046551,0,0,PC 670482,18.022921742239635,,S
264,0,3,"Horton, Master. Thomas",female,28.439474841088174,3,0,PC 637453,43.84797432087306,E67,S
265,1,3,"Martinez, Dr. Victor",male,40.99065832077937,0,0,PC 739461,16.353510590611172,,S
266,1,1,"Stevens, Mrs. Lauren",male,31.5253520417913,1,0,SC/Paris 975212,56.42222197830022,G85,S
267,1,3,"Jenkins, Miss. Justin",male,3.788569128566394,0,0,39229,17.78199402050461,F179,C
268,1,2,"Kirk, Miss. Brandon",male,31.3364465458236,0,1,CA 741369,50.83424986656774,,S
